degree_e1,degree_e2,gap_c,field_p,field_q,status
10,5,52,,,audited_empty
10,5,54,,,audited_empty
10,5,56,,,audited_empty
10,5,58,,,audited_empty
10,5,60,,,audited_empty
10,5,62,,,audited_empty
10,5,64,,,audited_empty
10,5,66,,,audited_empty
10,5,68,,,audited_empty
10,5,70,,,audited_empty
10,5,72,,,audited_empty
10,5,74,,,audited_empty
10,5,76,,,audited_empty
10,5,78,,,audited_empty
10,5,80,,,audited_empty
10,5,82,,,audited_empty
10,5,84,,,audited_empty
10,5,86,,,audited_empty
10,5,88,,,audited_empty
10,5,90,,,audited_empty
10,5,92,,,audited_empty
10,5,94,,,audited_empty
10,5,96,,,audited_empty
10,5,98,,,audited_empty
10,5,100,,,audited_empty
10,5,102,,,audited_empty
10,5,104,,,audited_empty
10,5,106,,,audited_empty
10,8,2,,,audited_empty
10,8,4,,,audited_empty
10,8,6,,,audited_empty
10,8,8,,,audited_empty
10,8,10,,,audited_empty
10,8,12,,,audited_empty
10,8,14,,,audited_empty
10,8,16,,,audited_empty
10,8,18,,,audited_empty
10,8,20,,,audited_empty
10,8,22,,,audited_empty
10,8,24,,,audited_empty
10,8,26,,,audited_empty
10,8,28,,,audited_empty
10,8,30,,,audited_empty
10,8,32,,,audited_empty
10,8,34,,,audited_empty
10,8,36,,,audited_empty
10,8,38,,,audited_empty
10,8,40,,,audited_empty
10,8,42,,,audited_empty
10,8,44,,,audited_empty
10,8,46,,,audited_empty
10,8,48,,,audited_empty
10,8,50,,,audited_empty
10,8,52,,,audited_empty
10,8,54,,,audited_empty
10,8,56,,,audited_empty
10,8,58,,,audited_empty
10,8,60,,,audited_empty
10,8,62,,,audited_empty
10,8,64,,,audited_empty
10,8,66,,,audited_empty
10,8,68,,,audited_empty
10,8,70,,,audited_empty
10,8,72,,,audited_empty
10,8,74,,,audited_empty
10,8,76,,,audited_empty
10,8,78,,,audited_empty
10,8,80,,,audited_empty
10,8,82,,,audited_empty
10,8,84,,,audited_empty
10,8,86,,,audited_empty
10,8,88,,,audited_empty
10,8,90,,,audited_empty
10,8,92,,,audited_empty
10,8,94,,,audited_empty
10,8,96,,,audited_empty
10,8,98,,,audited_empty
10,8,100,,,audited_empty
10,8,102,,,audited_empty
10,8,104,,,audited_empty
10,8,106,,,audited_empty
10,10,2,,,audited_empty
10,10,4,,,audited_empty
10,10,6,,,audited_empty
10,10,8,,,audited_empty
10,10,10,,,audited_empty
10,10,12,,,audited_empty
10,10,14,,,audited_empty
10,10,16,,,audited_empty
10,10,18,,,audited_empty
10,10,20,,,audited_empty
10,10,22,,,audited_empty
10,10,24,,,audited_empty
10,10,26,,,audited_empty
10,10,28,,,audited_empty
10,10,30,,,audited_empty
10,10,32,,,audited_empty
10,10,34,,,audited_empty
10,10,36,,,audited_empty
10,10,38,,,audited_empty
10,10,40,,,audited_empty
10,10,42,,,audited_empty
10,10,44,,,audited_empty
10,10,46,,,audited_empty
10,10,48,,,audited_empty
10,10,50,,,audited_empty
10,10,52,,,audited_empty
10,10,54,,,audited_empty
10,10,56,,,audited_empty
10,10,58,,,audited_empty
10,10,60,,,audited_empty
10,10,62,,,audited_empty
10,10,64,,,audited_empty
10,10,66,,,audited_empty
10,10,68,,,audited_empty
10,10,70,,,audited_empty
10,10,72,,,audited_empty
10,10,74,,,audited_empty
10,10,76,,,audited_empty
10,10,78,,,audited_empty
10,10,80,,,audited_empty
10,10,82,,,audited_empty
10,10,84,,,audited_empty
10,10,86,,,audited_empty
10,10,88,,,audited_empty
10,10,90,,,audited_empty
10,10,92,,,audited_empty
10,10,94,,,audited_empty
10,10,96,,,audited_empty
10,10,98,,,audited_empty
10,10,100,,,audited_empty
10,10,102,,,audited_empty
10,10,104,,,audited_empty
10,10,106,,,audited_empty
10,12,2,,,audited_empty
10,12,4,,,audited_empty
10,12,6,,,audited_empty
10,12,8,,,audited_empty
10,12,10,,,audited_empty
10,12,12,,,audited_empty
10,12,14,,,audited_empty
10,12,16,,,audited_empty
10,12,18,,,audited_empty
10,12,20,,,audited_empty
10,12,22,,,audited_empty
10,12,24,,,audited_empty
10,12,26,,,audited_empty
10,12,28,,,audited_empty
10,12,30,,,audited_empty
10,12,32,,,audited_empty
10,12,34,,,audited_empty
10,12,36,,,audited_empty
10,12,38,,,audited_empty
10,12,40,,,audited_empty
10,12,42,,,audited_empty
10,12,44,,,audited_empty
10,12,46,,,audited_empty
10,12,48,,,audited_empty
10,12,50,,,audited_empty
10,12,52,,,audited_empty
10,12,54,,,audited_empty
10,12,56,,,audited_empty
10,12,58,,,audited_empty
10,12,60,,,audited_empty
10,12,62,,,audited_empty
10,12,64,,,audited_empty
10,12,66,,,audited_empty
10,12,68,,,audited_empty
10,12,70,,,audited_empty
10,12,72,,,audited_empty
10,12,74,,,audited_empty
10,12,76,,,audited_empty
10,12,78,,,audited_empty
10,12,80,,,audited_empty
10,12,82,,,audited_empty
10,12,84,,,audited_empty
10,12,86,,,audited_empty
10,12,88,,,audited_empty
10,12,90,,,audited_empty
10,12,92,,,audited_empty
10,12,94,,,audited_empty
10,12,96,,,audited_empty
10,12,98,,,audited_empty
10,12,100,,,audited_empty
10,12,102,,,audited_empty
10,12,104,,,audited_empty
10,12,106,,,audited_empty
12,5,2,,,audited_empty
12,5,4,,,audited_empty
12,5,6,,,audited_empty
12,5,8,,,audited_empty
12,5,10,,,audited_empty
12,5,12,,,audited_empty
12,5,14,,,audited_empty
12,5,16,,,audited_empty
12,5,18,,,audited_empty
12,5,20,,,audited_empty
12,5,22,,,audited_empty
12,5,24,,,audited_empty
12,5,26,,,audited_empty
12,5,28,,,audited_empty
12,5,30,,,audited_empty
12,5,32,,,audited_empty
12,5,34,,,audited_empty
12,5,36,,,audited_empty
12,5,38,,,audited_empty
12,5,40,,,audited_empty
12,5,42,,,audited_empty
12,5,44,,,audited_empty
12,5,46,,,audited_empty
12,5,48,,,audited_empty
12,5,50,,,audited_empty
12,5,52,,,audited_empty
12,5,54,,,audited_empty
12,5,56,,,audited_empty
12,5,58,,,audited_empty
12,5,60,,,audited_empty
12,5,62,,,audited_empty
12,5,64,,,audited_empty
12,5,66,,,audited_empty
12,5,68,,,audited_empty
12,5,70,,,audited_empty
12,5,72,,,audited_empty
12,5,74,,,audited_empty
12,5,76,,,audited_empty
12,5,78,,,audited_empty
12,5,80,,,audited_empty
12,5,82,,,audited_empty
12,5,84,,,audited_empty
12,5,86,,,audited_empty
12,5,88,,,audited_empty
12,5,90,,,audited_empty
12,5,92,,,audited_empty
12,5,94,,,audited_empty
12,5,96,,,audited_empty
12,5,98,,,audited_empty
12,5,100,,,audited_empty
12,5,102,,,audited_empty
12,5,104,,,audited_empty
12,5,106,,,audited_empty
12,8,2,,,audited_empty
12,8,4,,,audited_empty
12,8,6,,,audited_empty
12,8,8,,,audited_empty
12,8,10,,,audited_empty
12,8,12,,,audited_empty
12,8,14,,,audited_empty
12,8,16,,,audited_empty
12,8,18,,,audited_empty
12,8,20,,,audited_empty
12,8,22,,,audited_empty
12,8,24,,,audited_empty
12,8,26,,,audited_empty
12,8,28,,,audited_empty
12,8,30,,,audited_empty
12,8,32,,,audited_empty
12,8,34,,,audited_empty
12,8,36,,,audited_empty
12,8,38,,,audited_empty
12,8,40,,,audited_empty
12,8,42,,,audited_empty
12,8,44,,,audited_empty
12,8,46,,,audited_empty
12,8,48,,,audited_empty
12,8,50,,,audited_empty
12,8,52,,,audited_empty
12,8,54,,,audited_empty
12,8,56,,,audited_empty
12,8,58,,,audited_empty
12,8,60,,,audited_empty
12,8,62,,,audited_empty
12,8,64,,,audited_empty
12,8,66,,,audited_empty
12,8,68,,,audited_empty
12,8,70,,,audited_empty
12,8,72,,,audited_empty
12,8,74,,,audited_empty
12,8,76,,,audited_empty
12,8,78,,,audited_empty
12,8,80,,,audited_empty
12,8,82,,,audited_empty
12,8,84,,,audited_empty
12,8,86,,,audited_empty
12,8,88,,,audited_empty
12,8,90,,,audited_empty
12,8,92,,,audited_empty
12,8,94,,,audited_empty
12,8,96,,,audited_empty
12,8,98,,,audited_empty
12,8,100,,,audited_empty
12,8,102,,,audited_empty
12,8,104,,,audited_empty
12,8,106,,,audited_empty
12,10,2,11,13,exact_cycle
12,10,4,,,audited_empty
12,10,6,,,audited_empty
12,10,8,,,audited_empty
12,10,10,,,audited_empty
12,10,12,,,audited_empty
12,10,14,,,audited_empty
12,10,16,,,audited_empty
12,10,18,,,audited_empty
12,10,20,,,audited_empty
12,10,22,,,audited_empty
12,10,24,,,audited_empty
12,10,26,,,audited_empty
12,10,28,,,audited_empty
12,10,30,,,audited_empty
12,10,32,,,audited_empty
12,10,34,,,audited_empty
12,10,36,,,audited_empty
12,10,38,,,audited_empty
12,10,40,,,audited_empty
12,10,42,,,audited_empty
12,10,44,,,audited_empty
12,10,46,,,audited_empty
12,10,48,,,audited_empty
12,10,50,,,audited_empty
12,10,52,,,audited_empty
12,10,54,,,audited_empty
12,10,56,,,audited_empty
12,10,58,,,audited_empty
12,10,60,,,audited_empty
12,10,62,,,audited_empty
12,10,64,,,audited_empty
12,10,66,,,audited_empty
12,10,68,,,audited_empty
12,10,70,,,audited_empty
12,10,72,,,audited_empty
12,10,74,,,audited_empty
12,10,76,,,audited_empty
12,10,78,,,audited_empty
12,10,80,,,audited_empty
12,10,82,,,audited_empty
12,10,84,,,audited_empty
12,10,86,,,audited_empty
12,10,88,,,audited_empty
12,10,90,,,audited_empty
12,10,92,,,audited_empty
12,10,94,,,audited_empty
12,10,96,,,audited_empty
12,10,98,,,audited_empty
12,10,100,,,audited_empty
12,10,102,,,audited_empty
12,10,104,,,audited_empty
12,10,106,,,audited_empty
12,12,2,,,audited_empty
12,12,4,,,audited_empty
12,12,6,,,audited_empty
12,12,8,,,audited_empty
12,12,10,,,audited_empty
12,12,12,,,audited_empty
12,12,14,,,audited_empty
12,12,16,,,audited_empty
12,12,18,,,audited_empty
12,12,20,,,audited_empty
12,12,22,,,audited_empty
12,12,24,,,audited_empty
12,12,26,,,audited_empty
12,12,28,,,audited_empty
12,12,30,,,audited_empty
12,12,32,,,audited_empty
12,12,34,,,audited_empty
12,12,36,,,audited_empty
12,12,38,,,audited_empty
12,12,40,,,audited_empty
12,12,42,,,audited_empty
12,12,44,,,audited_empty
12,12,46,,,audited_empty
12,12,48,,,audited_empty
12,12,50,,,audited_empty
12,12,52,,,audited_empty
12,12,54,,,audited_empty
12,12,56,,,audited_empty
12,12,58,,,audited_empty
