cycle,position,field_prime,a,b,expected_order,bsgs_order,exhaustive_order,trace,cm_radicand,embedding_degree,coefficient_attempts,bsgs_isolation_failures,seed,elapsed_seconds,verification_method,independently_verified_order,witness_x,witness_y
12106921-12110401,E1,12106921,10651042,897057,12110401,12110401,,-3479,36324243,4,9924,0,8295,6.876940,prime_point_hasse_certificate,12110401,0,12002300
12106921-12110401,E2,12110401,4264221,6537420,12106921,12106921,,3481,36324243,6,32700,0,8296,21.750071,prime_point_hasse_certificate,12106921,1,421682
12358741-12362257,E1,12358741,7395500,5065251,12362257,12362257,,-3515,37079739,4,7137,0,8297,4.575872,prime_point_hasse_certificate,12362257,0,11777264
12358741-12362257,E2,12362257,9698062,8189415,12358741,12358741,,3517,37079739,6,1051,0,8298,0.710994,prime_point_hasse_certificate,12358741,3,4450216
12489157-12492691,E1,12489157,9664479,10942771,12492691,12492691,,-3533,37474539,6,4585,0,8299,3.089415,prime_point_hasse_certificate,12492691,0,9263672
12489157-12492691,E2,12492691,382479,10574138,12489157,12489157,,3535,37474539,4,5419,0,8300,3.774802,prime_point_hasse_certificate,12489157,1,2148435
14032517-14036263,E1,14032517,5883784,11995470,14036263,14036263,,-3745,42105043,6,18783,0,8301,12.413089,prime_point_hasse_certificate,14036263,1,4093496
14032517-14036263,E2,14036263,13616399,7952090,14032517,14032517,,3747,42105043,4,18296,0,8302,9.561012,prime_point_hasse_certificate,14032517,2,10766752
14394437-14398231,E1,14394437,2622865,4191432,14398231,14398231,,-3793,43190899,6,32724,0,8303,18.758754,prime_point_hasse_certificate,14398231,1,13933322
14394437-14398231,E2,14398231,11688526,11947800,14394437,14394437,,3795,43190899,4,15411,0,8304,6.771607,prime_point_hasse_certificate,14394437,3,12889836
15085457-15089341,E1,15085457,8974662,10540958,15089341,15089341,,-3883,45264139,6,16396,0,8305,7.399550,prime_point_hasse_certificate,15089341,2,11927137
15085457-15089341,E2,15089341,4340416,6837942,15085457,15085457,,3885,45264139,4,1223,0,8306,0.571132,prime_point_hasse_certificate,15085457,2,5281149
15206101-15210001,E1,15206101,1007655,458958,15210001,15210001,,-3899,45622203,4,12056,0,8307,5.026170,prime_point_hasse_certificate,15210001,0,7103560
15206101-15210001,E2,15210001,8259656,9480746,15206101,15206101,,3901,45622203,6,18479,0,8308,8.508211,prime_point_hasse_certificate,15206101,4,14472573
15725191-15729157,E1,15725191,4204987,14307906,15729157,15729157,,-3965,47179539,4,8196,0,8309,3.747539,prime_point_hasse_certificate,15729157,1,160746
15725191-15729157,E2,15729157,8471619,801922,15725191,15725191,,3967,47179539,6,966,0,8310,0.366373,prime_point_hasse_certificate,15725191,0,1328190
16204651-16208677,E1,16204651,4516357,1298453,16208677,16208677,,-4025,48617979,4,9677,0,8311,4.663204,prime_point_hasse_certificate,16208677,0,4948039
16204651-16208677,E2,16208677,1856502,1714328,16204651,16204651,,4027,48617979,6,3127,0,8312,1.446088,prime_point_hasse_certificate,16204651,2,8205357
16451137-16455193,E1,16451137,9577910,2857934,16455193,16455193,,-4055,49361523,6,25253,0,8313,11.772548,prime_point_hasse_certificate,16455193,0,7448525
16451137-16455193,E2,16455193,454300,16143167,16451137,16451137,,4057,49361523,4,12435,0,8314,6.688473,prime_point_hasse_certificate,16451137,1,7894784
