mapping,p,u,exceptional,sample,batch,seed,nanoseconds_per_call
simple_swu,11,5,0,15,100,5402,2394.0
simple_swu,11,3,1,15,100,5402,2317.0
simple_swu,11,8,1,15,100,5402,2327.0
elligator2,11,9,0,15,100,5402,1881.0
elligator2,11,8,0,15,100,5402,1861.0
elligator2,11,10,0,15,100,5402,1861.0
elligator2,11,4,1,15,100,5402,1969.0
elligator2,11,7,1,15,100,5402,1884.0
elligator2,11,0,0,15,100,5402,1939.0
simple_swu,11,1,0,15,100,5402,2325.0
elligator2,11,3,0,15,100,5402,1879.0
elligator2,11,2,0,15,100,5402,2402.0
simple_swu,11,2,0,15,100,5402,2371.0
simple_swu,11,4,0,15,100,5402,2320.0
elligator2,11,6,0,16,100,5402,1924.0
simple_swu,11,5,0,16,100,5402,2342.0
simple_swu,11,3,1,16,100,5402,2278.0
elligator2,11,5,0,16,100,5402,1907.0
simple_swu,11,6,0,16,100,5402,2306.0
simple_swu,11,2,0,16,100,5402,2357.0
elligator2,11,10,0,16,100,5402,1888.0
elligator2,11,4,1,16,100,5402,2000.0
simple_swu,11,1,0,16,100,5402,2309.0
elligator2,11,1,0,16,100,5402,1883.0
simple_swu,11,0,1,16,100,5402,2247.0
simple_swu,11,4,0,16,100,5402,2294.0
elligator2,11,0,0,16,100,5402,1907.0
elligator2,11,8,0,16,100,5402,1874.0
simple_swu,11,10,0,16,100,5402,2325.0
elligator2,11,3,0,16,100,5402,1880.0
simple_swu,11,8,1,16,100,5402,2255.0
elligator2,11,2,0,16,100,5402,1885.0
simple_swu,11,9,0,16,100,5402,2294.0
elligator2,11,7,1,16,100,5402,1907.0
elligator2,11,9,0,16,100,5402,1886.0
simple_swu,11,7,0,16,100,5402,2318.0
elligator2,11,1,0,17,100,5402,1885.0
elligator2,11,3,0,17,100,5402,1926.0
simple_swu,11,1,0,17,100,5402,2315.0
simple_swu,11,9,0,17,100,5402,2293.0
elligator2,11,7,1,17,100,5402,1917.0
elligator2,11,2,0,17,100,5402,1855.0
simple_swu,11,5,0,17,100,5402,2319.0
simple_swu,11,2,0,17,100,5402,2299.0
elligator2,11,0,0,17,100,5402,1897.0
elligator2,11,8,0,17,100,5402,1892.0
simple_swu,11,7,0,17,100,5402,2294.0
simple_swu,11,10,0,17,100,5402,2289.0
elligator2,11,4,1,17,100,5402,1880.0
elligator2,11,5,0,17,100,5402,1881.0
simple_swu,11,0,1,17,100,5402,2269.0
elligator2,11,10,0,17,100,5402,1943.0
simple_swu,11,4,0,17,100,5402,2303.0
simple_swu,11,8,1,17,100,5402,2266.0
elligator2,11,9,0,17,100,5402,1881.0
simple_swu,11,3,1,17,100,5402,2252.0
elligator2,11,6,0,17,100,5402,1907.0
simple_swu,11,6,0,17,100,5402,2295.0
elligator2,11,7,1,18,100,5402,1904.0
elligator2,11,8,0,18,100,5402,1886.0
simple_swu,11,6,0,18,100,5402,2289.0
simple_swu,11,8,1,18,100,5402,3266.0
elligator2,11,10,0,18,100,5402,2075.0
simple_swu,11,3,1,18,100,5402,2311.0
elligator2,11,6,0,18,100,5402,1943.0
elligator2,11,0,0,18,100,5402,1956.0
simple_swu,11,10,0,18,100,5402,2502.0
simple_swu,11,1,0,18,100,5402,2335.0
elligator2,11,9,0,18,100,5402,1935.0
simple_swu,11,9,0,18,100,5402,2299.0
elligator2,11,1,0,18,100,5402,1898.0
simple_swu,11,5,0,18,100,5402,2333.0
simple_swu,11,7,0,18,100,5402,2298.0
simple_swu,11,0,1,18,100,5402,2275.0
simple_swu,11,2,0,18,100,5402,2337.0
elligator2,11,3,0,18,100,5402,1930.0
elligator2,11,2,0,18,100,5402,1885.0
elligator2,11,5,0,18,100,5402,2058.0
elligator2,11,4,1,18,100,5402,1932.0
simple_swu,11,4,0,18,100,5402,2295.0
simple_swu,11,3,1,19,100,5402,2276.0
simple_swu,11,5,0,19,100,5402,2326.0
simple_swu,11,7,0,19,100,5402,2311.0
simple_swu,11,1,0,19,100,5402,2365.0
simple_swu,11,0,1,19,100,5402,2279.0
simple_swu,11,10,0,19,100,5402,2317.0
elligator2,11,6,0,19,100,5402,1920.0
elligator2,11,4,1,19,100,5402,1982.0
elligator2,11,3,0,19,100,5402,1898.0
elligator2,11,7,1,19,100,5402,1966.0
elligator2,11,10,0,19,100,5402,1906.0
simple_swu,11,2,0,19,100,5402,2298.0
elligator2,11,9,0,19,100,5402,1906.0
simple_swu,11,8,1,19,100,5402,2292.0
simple_swu,11,6,0,19,100,5402,2304.0
elligator2,11,8,0,19,100,5402,1906.0
elligator2,11,1,0,19,100,5402,1925.0
elligator2,11,2,0,19,100,5402,1918.0
elligator2,11,0,0,19,100,5402,2151.0
elligator2,11,5,0,19,100,5402,1879.0
simple_swu,11,4,0,19,100,5402,2905.0
simple_swu,11,9,0,19,100,5402,2854.0
simple_swu,11,3,1,20,100,5402,2286.0
elligator2,11,10,0,20,100,5402,1887.0
simple_swu,11,5,0,20,100,5402,2889.0
elligator2,11,0,0,20,100,5402,2925.0
elligator2,11,1,0,20,100,5402,2976.0
elligator2,11,2,0,20,100,5402,2850.0
elligator2,11,7,1,20,100,5402,3053.0
simple_swu,11,7,0,20,100,5402,2859.0
elligator2,11,5,0,20,100,5402,1880.0
simple_swu,11,2,0,20,100,5402,2267.0
simple_swu,11,10,0,20,100,5402,2268.0
elligator2,11,9,0,20,100,5402,1857.0
elligator2,11,3,0,20,100,5402,1856.0
simple_swu,11,8,1,20,100,5402,2314.0
simple_swu,11,9,0,20,100,5402,2282.0
elligator2,11,4,1,20,100,5402,1947.0
elligator2,11,8,0,20,100,5402,2295.0
simple_swu,11,1,0,20,100,5402,3989.0
simple_swu,11,4,0,20,100,5402,3980.0
simple_swu,11,0,1,20,100,5402,3156.0
elligator2,11,6,0,20,100,5402,1908.0
simple_swu,11,6,0,20,100,5402,2325.0
simple_swu,11,0,1,21,100,5402,2310.0
elligator2,11,5,0,21,100,5402,1877.0
elligator2,11,3,0,21,100,5402,2040.0
elligator2,11,9,0,21,100,5402,1905.0
elligator2,11,8,0,21,100,5402,1855.0
simple_swu,11,10,0,21,100,5402,2306.0
simple_swu,11,4,0,21,100,5402,2863.0
simple_swu,11,5,0,21,100,5402,3464.0
simple_swu,11,7,0,21,100,5402,2293.0
elligator2,11,4,1,21,100,5402,1993.0
simple_swu,11,2,0,21,100,5402,2318.0
simple_swu,11,1,0,21,100,5402,2309.0
elligator2,11,10,0,21,100,5402,1887.0
simple_swu,11,3,1,21,100,5402,2277.0
elligator2,11,1,0,21,100,5402,1916.0
simple_swu,11,9,0,21,100,5402,2304.0
elligator2,11,6,0,21,100,5402,1920.0
simple_swu,11,6,0,21,100,5402,2311.0
elligator2,11,2,0,21,100,5402,1933.0
elligator2,11,0,0,21,100,5402,1928.0
elligator2,11,7,1,21,100,5402,1888.0
simple_swu,11,8,1,21,100,5402,2261.0
elligator2,11,9,0,22,100,5402,1888.0
simple_swu,11,6,0,22,100,5402,2328.0
simple_swu,11,8,1,22,100,5402,2264.0
simple_swu,11,0,1,22,100,5402,2292.0
elligator2,11,5,0,22,100,5402,1924.0
elligator2,11,0,0,22,100,5402,1925.0
elligator2,11,3,0,22,100,5402,1947.0
simple_swu,11,2,0,22,100,5402,2330.0
simple_swu,11,1,0,22,100,5402,2339.0
simple_swu,11,9,0,22,100,5402,2330.0
simple_swu,11,10,0,22,100,5402,2329.0
elligator2,11,1,0,22,100,5402,1879.0
elligator2,11,4,1,22,100,5402,1879.0
elligator2,11,6,0,22,100,5402,1869.0
simple_swu,11,7,0,22,100,5402,2352.0
elligator2,11,10,0,22,100,5402,1881.0
simple_swu,11,5,0,22,100,5402,2330.0
simple_swu,11,3,1,22,100,5402,2269.0
elligator2,11,8,0,22,100,5402,1884.0
elligator2,11,2,0,22,100,5402,1858.0
elligator2,11,7,1,22,100,5402,1886.0
simple_swu,11,4,0,22,100,5402,2334.0
elligator2,11,9,0,23,100,5402,1886.0
simple_swu,11,1,0,23,100,5402,2346.0
simple_swu,11,2,0,23,100,5402,2297.0
simple_swu,11,7,0,23,100,5402,2307.0
simple_swu,11,9,0,23,100,5402,2315.0
elligator2,11,10,0,23,100,5402,1868.0
simple_swu,11,4,0,23,100,5402,2336.0
elligator2,11,0,0,23,100,5402,1917.0
simple_swu,11,10,0,23,100,5402,2342.0
elligator2,11,7,1,23,100,5402,1899.0
simple_swu,11,6,0,23,100,5402,2318.0
elligator2,11,2,0,23,100,5402,1866.0
elligator2,11,1,0,23,100,5402,1858.0
elligator2,11,3,0,23,100,5402,1871.0
simple_swu,11,5,0,23,100,5402,2329.0
elligator2,11,4,1,23,100,5402,1902.0
elligator2,11,5,0,23,100,5402,1883.0
simple_swu,11,8,1,23,100,5402,2300.0
simple_swu,11,3,1,23,100,5402,2320.0
simple_swu,11,0,1,23,100,5402,2268.0
elligator2,11,6,0,23,100,5402,1876.0
elligator2,11,8,0,23,100,5402,1862.0
simple_swu,11,6,0,24,100,5402,2322.0
simple_swu,11,8,1,24,100,5402,2260.0
simple_swu,11,1,0,24,100,5402,2329.0
elligator2,11,6,0,24,100,5402,1892.0
elligator2,11,7,1,24,100,5402,1903.0
