bits,prime_index,prime,prime_mod_12,smoothness_exponent,order_bound,discriminant_exponent,discriminant_bound,explicit_order_count,explicit_success,explicit_smooth_count,explicit_best_order,explicit_best_lpf,explicit_first_smooth_order,bounded_cm_success,cm_discriminant,cm_class_number,cm_conductor,cm_trace,cm_order,cm_lpf,measurement_ms
20,20,1048219,7,3,8000,3,8000,7,1,5,1049673,103,1046767,1,-3,1,833,-1453,1049673,103,0.09400001727044582
20,21,1048217,5,2,400,3,8000,5,0,0,1048370,2557,,1,-8,1,364,1770,1046448,43,0.20119990222156048
20,21,1048217,5,3,8000,3,8000,5,1,3,1048370,2557,1048066,1,-4,1,1021,152,1048066,3517,0.20119990222156048
20,22,1048213,1,2,400,3,8000,10,1,2,1048572,73,1046180,1,-3,1,1164,-358,1048572,73,0.1564000267535448
20,22,1048213,1,3,8000,3,8000,10,1,6,1048572,73,1046180,1,-3,1,1164,-358,1048572,73,0.1564000267535448
20,23,1048193,5,2,400,3,8000,5,1,3,1048194,59,1047248,1,-4,1,908,946,1047248,61,0.06180000491440296
20,23,1048193,5,3,8000,3,8000,5,1,3,1048194,59,1047248,1,-4,1,908,946,1047248,61,0.06180000491440296
20,24,1048189,1,2,400,3,8000,10,0,0,1047027,829,,1,-7,1,684,-958,1049148,193,0.29150000773370266
20,24,1048189,1,3,8000,3,8000,10,1,7,1047027,829,1047027,1,-3,1,1068,-878,1049068,1609,0.29150000773370266
20,25,1048139,11,2,400,3,8000,1,0,0,1048140,647,,1,-7,1,766,-292,1048432,37,0.05339994095265865
20,25,1048139,11,3,8000,3,8000,1,1,1,1048140,647,1048140,1,-7,1,766,-292,1048432,37,0.05339994095265865
20,26,1048129,1,2,400,3,8000,10,1,2,1048050,137,1048050,1,-4,1,1023,80,1048050,137,0.3372000064700842
20,26,1048129,1,3,8000,3,8000,10,1,6,1048050,137,1046128,1,-3,1,248,2002,1046128,433,0.3372000064700842
20,27,1048127,11,2,400,3,8000,1,1,1,1048128,103,1048128,1,-19,1,11,-2047,1050175,353,0.23100001271814108
20,27,1048127,11,3,8000,3,8000,1,1,1,1048128,103,1048128,1,-11,1,613,-243,1048371,5923,0.23100001271814108
20,28,1048123,7,2,400,3,8000,7,1,2,1048124,83,1048124,1,-3,1,1151,-467,1048591,241,0.14160003047436476
20,28,1048123,7,3,8000,3,8000,7,1,4,1048124,83,1046631,1,-3,1,342,-1960,1050084,463,0.14160003047436476
20,29,1048063,7,2,400,3,8000,7,1,2,1048064,89,1048064,1,-3,1,781,-1537,1049601,331,0.17170002683997154
20,29,1048063,7,3,8000,3,8000,7,1,3,1048064,89,1047661,1,-3,1,1159,403,1047661,6673,0.17170002683997154
20,30,1048051,7,2,400,3,8000,7,0,0,1048052,547,,1,-7,1,330,-1852,1049904,317,0.18839992117136717
20,30,1048051,7,3,8000,3,8000,7,1,4,1048052,547,1046236,1,-3,1,1181,89,1047963,7129,0.18839992117136717
20,31,1048049,5,2,400,3,8000,5,1,2,1048050,137,1048050,1,-4,1,560,-1714,1049764,173,0.09709992446005344
20,31,1048049,5,3,8000,3,8000,5,1,2,1048050,137,1048050,1,-4,1,560,-1714,1049764,173,0.09709992446005344
20,32,1048043,11,2,400,3,8000,1,0,0,1048044,87337,,1,-104,6,23,2034,1046010,293,0.29260001610964537
20,32,1048043,11,3,8000,3,8000,1,0,0,1048044,87337,,1,-67,1,43,2017,1046027,1663,0.29260001610964537
24,1,16777213,1,2,576,3,13824,10,1,2,16784599,163,16769300,1,-3,1,2047,-7385,16784599,163,0.36619999445974827
24,1,16777213,1,3,13824,3,13824,10,1,5,16784599,163,16769300,1,-3,1,4716,-622,16777836,1291,0.36619999445974827
24,2,16777199,11,2,576,3,13824,1,1,1,16777200,41,16777200,1,-235,2,415,-5161,16782361,541,0.5886999424546957
24,2,16777199,11,3,13824,3,13824,1,1,1,16777200,41,16777200,1,-19,1,1478,5060,16772140,10891,0.5886999424546957
24,3,16777183,7,2,576,3,13824,7,1,1,16769172,79,16769172,1,-3,1,986,8012,16769172,79,0.31130004208534956
24,3,16777183,7,3,13824,3,13824,7,1,2,16769172,79,16769172,1,-3,1,986,8012,16769172,79,0.31130004208534956
24,4,16777153,1,2,576,3,13824,10,1,2,16769172,79,16769172,1,-3,1,1064,7982,16769172,79,0.5104000447317958
24,4,16777153,1,3,13824,3,13824,10,1,4,16769172,79,16769172,1,-3,1,1064,-7982,16785136,787,0.5104000447317958
24,5,16777141,1,2,576,3,13824,10,1,2,16784656,271,16775972,1,-3,1,1884,-7514,16784656,271,0.367300002835691
24,5,16777141,1,3,13824,3,13824,10,1,6,16784656,271,16769034,1,-3,1,2815,-6583,16783725,4567,0.367300002835691
24,6,16777139,11,2,576,3,13824,1,0,0,16777140,279619,,1,-8,1,473,-8082,16785222,89,0.12009998317807913
24,6,16777139,11,3,13824,3,13824,1,0,0,16777140,279619,,1,-7,1,374,-8132,16785272,8101,0.12009998317807913
24,7,16777127,11,2,576,3,13824,1,0,0,16777128,2003,,1,-1208,12,137,-6666,16783794,389,2.3745999205857515
24,7,16777127,11,3,13824,3,13824,1,1,1,16777128,2003,16777128,1,-11,1,1663,6057,16771071,2731,2.3745999205857515
24,8,16777121,5,2,576,3,13824,5,1,1,16777122,571,16777122,1,-7,1,920,7822,16769300,317,0.19130005966871977
24,8,16777121,5,3,13824,3,13824,5,1,2,16777122,571,16769744,1,-4,1,1780,7378,16769744,4349,0.19130005966871977
24,9,16777099,7,2,576,3,13824,7,1,2,16772211,163,16772211,1,-3,1,4342,-3248,16780348,241,0.10779988951981068
24,9,16777099,7,3,13824,3,13824,7,1,4,16772211,163,16772211,1,-3,1,4342,3248,16773852,673,0.10779988951981068
24,10,16777049,5,2,576,3,13824,5,1,1,16769650,181,16769650,1,-4,1,1757,7400,16769650,181,0.08829997386783361
24,10,16777049,5,3,13824,3,13824,5,1,2,16769650,181,16769650,1,-4,1,1757,7400,16769650,181,0.08829997386783361
24,11,16777027,7,2,576,3,13824,7,1,2,16781313,109,16780932,1,-3,1,4158,-3904,16780932,151,0.1050999853760004
24,11,16777027,7,3,13824,3,13824,7,1,5,16781313,109,16768839,1,-3,1,4158,-3904,16780932,151,0.1050999853760004
24,12,16776989,5,2,576,3,13824,5,1,1,16770874,233,16770874,1,-4,1,2725,6116,16770874,233,0.15879992861300707
24,12,16776989,5,3,13824,3,13824,5,1,2,16770874,233,16770874,1,-4,1,3058,5450,16771540,6121,0.15879992861300707
24,13,16776973,1,2,576,3,13824,10,0,0,16785136,787,,1,-187,2,148,7938,16769036,467,1.263100071810186
24,13,16776973,1,3,13824,3,13824,10,1,3,16785136,787,16768812,1,-3,1,404,8162,16768812,13567,1.263100071810186
24,14,16776971,11,2,576,3,13824,1,0,0,16776972,466027,,1,-35,2,1082,5112,16771860,29,0.2581999870017171
24,14,16776971,11,3,13824,3,13824,1,0,0,16776972,466027,,1,-35,2,1082,5112,16771860,29,0.2581999870017171
24,15,16776967,7,2,576,3,13824,7,1,1,16770357,229,16770357,1,-3,1,2793,6611,16770357,229,0.33629999961704016
24,15,16776967,7,3,13824,3,13824,7,1,3,16770357,229,16770357,1,-3,1,4702,884,16776084,3469,0.33629999961704016
