candidate_id,a0,a1,b0,b1,norm_f,factorization_f,largest_prime_f,norm_g,factorization_g,largest_prime_g,baseline_f,baseline_factorization_f,baseline_largest_prime_f,baseline_g,baseline_factorization_g,baseline_largest_prime_g,actual_f_B7,actual_g_B7,actual_joint_B7,baseline_f_B7,baseline_g_B7,baseline_joint_B7,actual_f_B13,actual_g_B13,actual_joint_B13,baseline_f_B13,baseline_g_B13,baseline_joint_B13
145,-1,-1,2,0,131,131^1,131,1011,3^1*337^1,337,193,193^1,193,898,2^1*449^1,449,0,0,0,0,0,0,0,0,0,0,0,0
146,-1,-1,2,1,67,67^1,67,5147,5147^1,5147,80,2^4*5^1,5,5133,3^1*29^1*59^1,59,0,0,0,1,0,0,0,0,0,1,0,0
147,-1,-1,2,2,243,3^5,3,36963,3^3*37^2,37,196,2^2*7^2,7,35719,23^1*1553^1,1553,1,0,0,1,0,0,1,0,0,1,0,0
148,-1,0,-2,-2,2361,3^1*787^1,787,25801,25801^1,25801,3433,3433^1,3433,23201,23201^1,23201,0,0,0,0,0,0,0,0,0,0,0,0
149,-1,0,-2,-1,393,3^1*131^1,131,2953,2953^1,2953,279,3^2*31^1,31,3811,37^1*103^1,103,0,0,0,0,0,0,0,0,0,0,0,0
150,-1,0,-2,0,169,13^2,13,729,3^6,3,248,2^3*31^1,31,782,2^1*17^1*23^1,23,0,1,0,0,0,0,1,1,1,0,0,0
151,-1,0,-2,1,393,3^1*131^1,131,2953,2953^1,2953,403,13^1*31^1,31,3462,2^1*3^1*577^1,577,0,0,0,0,0,0,0,0,0,0,0,0
152,-1,0,-2,2,2361,3^1*787^1,787,25801,25801^1,25801,3474,2^1*3^2*193^1,193,26109,3^3*967^1,967,0,0,0,0,0,0,0,0,0,0,0,0
153,-1,0,-1,-2,913,11^1*83^1,83,11268,2^2*3^2*313^1,313,767,13^1*59^1,59,12878,2^1*47^1*137^1,137,0,0,0,0,0,0,0,0,0,0,0,0
154,-1,0,-1,-1,43,43^1,43,408,2^3*3^1*17^1,17,32,2^5,2,459,3^3*17^1,17,0,0,0,1,0,0,0,0,0,1,0,0
155,-1,0,-1,0,9,3^2,3,4,2^2,2,12,2^2*3^1,3,4,2^2,2,1,1,1,1,1,1,1,1,1,1,1,1
156,-1,0,-1,1,43,43^1,43,408,2^3*3^1*17^1,17,62,2^1*31^1,31,332,2^2*83^1,83,0,0,0,0,0,0,0,0,0,0,0,0
157,-1,0,-1,2,913,11^1*83^1,83,11268,2^2*3^2*313^1,313,792,2^3*3^2*11^1,11,14837,37^1*401^1,401,0,0,0,0,0,0,0,0,0,1,0,0
158,-1,0,0,-2,561,3^1*11^1*17^1,17,8241,3^1*41^1*67^1,67,740,2^2*5^1*37^1,37,11306,2^1*5653^1,5653,0,0,0,0,0,0,0,0,0,0,0,0
159,-1,0,0,-1,9,3^2,3,129,3^1*43^1,43,9,3^2,3,209,11^1*19^1,19,1,0,0,1,0,0,1,0,0,1,0,0
160,-1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,-1,0,0,1,9,3^2,3,129,3^1*43^1,43,15,3^1*5^1,5,147,3^1*7^2,7,1,0,0,1,1,1,1,0,0,1,1,1
162,-1,0,0,2,561,3^1*11^1*17^1,17,8241,3^1*41^1*67^1,67,992,2^5*31^1,31,14434,2^1*7^1*1031^1,1031,0,0,0,0,0,0,0,0,0,0,0,0
163,-1,0,1,-2,681,3^1*227^1,227,12196,2^2*3049^1,3049,789,3^1*263^1,263,14411,14411^1,14411,0,0,0,0,0,0,0,0,0,0,0,0
164,-1,0,1,-1,27,3^3,3,472,2^3*59^1,59,27,3^3,3,310,2^1*5^1*31^1,31,1,0,0,1,0,0,1,0,0,1,0,0
165,-1,0,1,0,1,1,1,36,2^2*3^2,3,1,1,1,32,2^5,2,1,1,1,1,1,1,1,1,1,1,1,1
166,-1,0,1,1,27,3^3,3,472,2^3*59^1,59,31,31^1,31,261,3^2*29^1,29,1,0,0,0,0,0,1,0,0,0,0,0
167,-1,0,1,2,681,3^1*227^1,227,12196,2^2*3049^1,3049,759,3^1*11^1*23^1,23,13243,17^1*19^1*41^1,41,0,0,0,0,0,0,0,0,0,0,0,0
168,-1,0,2,-2,1369,37^2,37,29769,3^1*9923^1,9923,2014,2^1*19^1*53^1,53,31787,7^1*19^1*239^1,239,0,0,0,0,0,0,0,0,0,0,0,0
169,-1,0,2,-1,121,11^2,11,4041,3^2*449^1,449,115,5^1*23^1,23,2869,19^1*151^1,151,0,0,0,0,0,0,1,0,0,0,0,0
170,-1,0,2,0,9,3^2,3,1369,37^2,37,9,3^2,3,1691,19^1*89^1,89,1,0,0,1,0,0,1,0,0,1,0,0
171,-1,0,2,1,121,11^2,11,4041,3^2*449^1,449,64,2^6,2,3724,2^2*7^2*19^1,19,0,0,0,1,0,0,1,0,0,1,0,0
172,-1,0,2,2,1369,37^2,37,29769,3^1*9923^1,9923,1103,1103^1,1103,21844,2^2*43^1*127^1,127,0,0,0,0,0,0,0,0,0,0,0,0
173,-1,1,-2,-2,1811,1811^1,1811,28771,28771^1,28771,1372,2^2*7^3,7,30321,3^3*1123^1,1123,0,0,0,1,0,0,0,0,0,1,0,0
174,-1,1,-2,-1,243,3^5,3,3483,3^4*43^1,43,253,11^1*23^1,23,3070,2^1*5^1*307^1,307,1,0,0,0,0,0,1,0,0,0,0,0
175,-1,1,-2,0,99,3^2*11^1,11,1139,17^1*67^1,67,81,3^4,3,1082,2^1*541^1,541,0,0,0,1,0,0,1,0,0,1,0,0
176,-1,1,-2,1,803,11^1*73^1,73,2203,2203^1,2203,943,23^1*41^1,41,2853,3^2*317^1,317,0,0,0,0,0,0,0,0,0,0,0,0
177,-1,1,-2,2,4563,3^3*13^2,13,19683,3^9,3,6729,3^1*2243^1,2243,28429,28429^1,28429,0,1,0,0,0,0,1,1,1,0,0,0
178,-1,1,-1,-2,729,3^6,3,12744,2^3*3^3*59^1,59,566,2^1*283^1,283,15586,2^1*7793^1,7793,1,0,0,0,0,0,1,0,0,0,0,0
179,-1,1,-1,-1,67,67^1,67,332,2^2*83^1,83,115,5^1*23^1,23,484,2^2*11^2,11,0,0,0,0,0,0,0,0,0,0,1,0
180,-1,1,-1,0,17,17^1,17,72,2^3*3^2,3,22,2^1*11^1,11,127,127^1,127,0,1,0,0,0,0,0,1,0,1,0,0
181,-1,1,-1,1,243,3^5,3,108,2^2*3^3,3,189,3^3*7^1,7,112,2^4*7^1,7,1,1,1,1,1,1,1,1,1,1,1,1
182,-1,1,-1,2,2137,2137^1,2137,8072,2^3*1009^1,1009,3068,2^2*13^1*59^1,59,8121,3^1*2707^1,2707,0,0,0,0,0,0,0,0,0,0,0,0
183,-1,1,0,-2,331,331^1,331,10251,3^2*17^1*67^1,67,327,3^1*109^1,109,11553,3^1*3851^1,3851,0,0,0,0,0,0,0,0,0,0,0,0
184,-1,1,0,-1,51,3^1*17^1,17,211,211^1,211,46,2^1*23^1,23,169,13^2,13,0,0,0,0,0,0,0,0,0,0,1,0
185,-1,1,0,0,27,3^3,3,27,3^3,3,27,3^3,3,31,31^1,31,1,1,1,1,0,0,1,1,1,1,0,0
186,-1,1,0,1,67,67^1,67,147,3^1*7^2,7,110,2^1*5^1*11^1,11,129,3^1*43^1,43,0,1,0,0,0,0,0,1,0,1,0,0
187,-1,1,0,2,1227,3^1*409^1,409,6667,59^1*113^1,113,1733,1733^1,1733,8044,2^2*2011^1,2011,0,0,0,0,0,0,0,0,0,0,0,0
